Function Name,Kiểm thử đơn vị - Quản lý thuốc,,,,,,,
Test Result,JUnit,Mockito,,,,,,
Total,24,24,,,,,,
Passed,22,22,,,,,,
Failed,2,2,,,,,,
Not Run,0,0,,,,,,
NA,0,0,,,,,,
Testcase con,73,73,,,,,,
,,,,,,,,
ID, Summary,Steps,Expected Output,Test Results,,,Method,Proof,Notes
,,,,JUnit,Mockito,,,
I. Kiểm thử ThuocService,,,,,,,,
TS_001,Lấy danh sách thuốc thành công,"1. Mock repository trả về danh sách thuốc
2. Gọi phương thức getAll()","2. Trả về ResponseDTO với status 200 và danh sách thuốc",Passed,Passed,JUnit,"docs/quan-ly-thuoc/test-logs/service-tests.log",Bao gồm 2 testcase con: kiểm tra status code và kiểm tra dữ liệu trả về
TS_002,Lấy danh sách thuốc trống,"1. Mock repository trả về danh sách rỗng
2. Gọi phương thức getAll()","2. Trả về ResponseDTO với status 200 và danh sách rỗng",Passed,Passed,JUnit,"docs/quan-ly-thuoc/test-logs/service-tests.log",Bao gồm 2 testcase con: kiểm tra status code và kiểm tra dữ liệu trả về rỗng
TS_003,Tìm thuốc theo ID thành công,"1. Mock repository trả về thuốc
2. Gọi phương thức getById()","2. Trả về ResponseDTO với status 200 và thông tin thuốc",Passed,Passed,JUnit,"docs/quan-ly-thuoc/test-logs/service-tests.log",Bao gồm 2 testcase con: kiểm tra status code và kiểm tra dữ liệu thuốc trả về
TS_004,Tìm thuốc theo ID không tồn tại,"1. Mock repository trả về Optional.empty()
2. Gọi phương thức getById()","2. Trả về ResponseDTO với status 404 và thông báo lỗi",Passed,Passed,JUnit,"docs/quan-ly-thuoc/test-logs/service-tests.log",Bao gồm 2 testcase con: kiểm tra status code và kiểm tra thông báo lỗi
TS_005,Tạo thuốc thành công,"1. Mock repository trả về thuốc đã tạo
2. Gọi phương thức create()","2. Trả về ResponseDTO với status 201 và thông tin thuốc",Passed,Passed,JUnit,"docs/quan-ly-thuoc/test-logs/service-tests.log",Bao gồm 3 testcase con: kiểm tra status code, kiểm tra dữ liệu thuốc trả về, kiểm tra gọi repository.save()
TS_006,Cập nhật thuốc thành công,"1. Mock repository trả về thuốc đã cập nhật
2. Gọi phương thức update()","2. Trả về ResponseDTO với status 200 và thông tin thuốc",Passed,Passed,JUnit,"docs/quan-ly-thuoc/test-logs/service-tests.log",Bao gồm 3 testcase con: kiểm tra status code, kiểm tra dữ liệu thuốc trả về, kiểm tra gọi repository.save()
TS_007,Xóa thuốc thành công,"1. Mock repository không ném exception
2. Gọi phương thức delete()","2. Trả về ResponseDTO với status 200 và thông báo thành công",Passed,Passed,JUnit,"docs/quan-ly-thuoc/test-logs/service-tests.log",Bao gồm 2 testcase con: kiểm tra status code và kiểm tra gọi repository.deleteById()
II. Kiểm thử ThuocController,,,,,,,,
TC_001,Lấy danh sách thuốc thành công,"1. Mock service trả về ResponseDTO thành công
2. Gọi API GET /thuoc/getAll","2. Trả về status 200 và danh sách thuốc",Passed,Passed,JUnit,"docs/quan-ly-thuoc/test-logs/controller-tests.log",Bao gồm 2 testcase con: kiểm tra status code và kiểm tra dữ liệu JSON trả về
